index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
826,S,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
827,M,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
828,L,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
829,XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
830,2XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
831,3XL,Four Gems 2,Kurta Set,0.4,680,2795,2795,2995,2795,2795,2795,2795,2795,2795,2795
832,S,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
833,M,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
834,L,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
835,XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
836,2XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
837,3XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
838,S,Mix,Kurta,0.3,425,1995,1995,1995,1895,1895,1995,1995,1995,1995,1995
839,M,Mix,Kurta,0.3,425,1995,1995,1995,1895,1895,1995,1995,1995,1995,1995
840,L,Mix,Kurta,0.3,425,1995,1995,1995,1895,1895,1995,1995,1995,1995,1995
841,XL,Mix,Kurta,0.3,425,1995,1995,1995,1895,1895,1995,1995,1995,1995,1995
842,2XL,Mix,Kurta,0.3,425,1995,1995,1995,1895,1895,1995,1995,1995,1995,1995
843,3XL,Mix,Kurta,0.3,425,1995,1995,1995,1895,1895,1995,1995,1995,1995,1995
844,S,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
845,M,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
846,L,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
847,XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
848,2XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
849,3XL,Mix,Kurta,0.3,425,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
850,S,Mix,Kurta,0.3,220,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
851,M,Mix,Kurta,0.3,220,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
852,L,Mix,Kurta,0.3,220,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
853,XL,Mix,Kurta,0.3,220,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
854,2XL,Mix,Kurta,0.3,220,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
855,S,Surmaya,Kurta,0.3,525,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
856,M,Surmaya,Kurta,0.3,525,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
857,L,Surmaya,Kurta,0.3,525,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
858,XL,Surmaya,Kurta,0.3,525,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
859,2XL,Surmaya,Kurta,0.3,525,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
860,3XL,Surmaya,Kurta,0.3,525,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
861,S,Surmaya,Kurta Set,0.4,880,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
862,M,Surmaya,Kurta Set,0.4,880,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
863,L,Surmaya,Kurta Set,0.4,880,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
864,XL,Surmaya,Kurta Set,0.4,880,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
865,2XL,Surmaya,Kurta Set,0.4,880,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
