index,Stock,Category,Size,Color
5220,1.0,TOP,M,Cream
5221,0.0,TOP,S,Cream
5222,4.0,TOP,XL,Cream
5223,3.0,TOP,XS,Cream
5224,3.0,TOP,XXL,Cream
5225,7.0,TOP,L,Blue
5226,4.0,TOP,M,Blue
5227,2.0,TOP,S,Blue
5228,11.0,TOP,XL,Blue
5229,3.0,TOP,XS,Blue
5230,4.0,TOP,XXL,Blue
5231,27.0,TOP,L,Blue
5232,1.0,TOP,M,Blue
5233,12.0,TOP,S,Blue
5234,33.0,TOP,XL,Blue
5235,8.0,TOP,XS,Blue
5236,35.0,TOP,XXL,Blue
5237,70.0,TOP,L,Black
5238,52.0,TOP,M,Black
5239,49.0,TOP,S,Black
5240,67.0,TOP,XL,Black
5241,26.0,TOP,XS,Black
5242,54.0,TOP,XXL,Black
5243,2.0,TOP,L,Black
5244,2.0,TOP,M,Black
5245,0.0,TOP,S,Black
5246,2.0,TOP,XL,Black
5247,3.0,TOP,XS,Black
5248,2.0,TOP,XXL,Black
5250,6.0,TOP,L,White
5251,3.0,TOP,M,White
5252,5.0,TOP,S,White
5253,21.0,TOP,XL,White
5254,2.0,TOP,XS,White
5255,4.0,TOP,XXL,White
5256,29.0,TOP,L,Teal
5257,123.0,TOP,M,Teal
5258,77.0,TOP,S,Teal
5259,76.0,TOP,XL,Teal
5260,12.0,TOP,XS,Teal
5261,47.0,TOP,XXL,Teal
5262,16.0,TOP,L,Sky Blue
5263,11.0,TOP,M,Sky Blue
5264,17.0,TOP,S,Sky Blue
5265,19.0,TOP,XL,Sky Blue
5266,10.0,TOP,XS,Sky Blue
5267,11.0,TOP,XXL,Sky Blue
5268,2.0,TOP,L,Pink
5269,0.0,TOP,M,Pink
5270,0.0,TOP,S,Pink
5271,5.0,TOP,XL,Pink
5272,2.0,TOP,XS,Pink
5273,5.0,TOP,XXL,Pink
5274,1.0,TOP,L,Peach
5275,2.0,TOP,M,Peach
5276,4.0,TOP,S,Peach
5277,2.0,TOP,XL,Peach
5278,6.0,TOP,XS,Peach
5279,4.0,TOP,XXL,Peach
5280,2.0,TOP,L,Grey
5281,3.0,TOP,M,Grey
5282,1.0,TOP,S,Grey
5283,1.0,TOP,XL,Grey
5284,0.0,TOP,XS,Grey
5285,2.0,TOP,XXL,Grey
5286,2.0,TOP,L,Green
5287,2.0,TOP,M,Green
5288,8.0,TOP,S,Green
5289,2.0,TOP,XL,Green
5290,11.0,TOP,XS,Green
5291,0.0,TOP,XXL,Green
5292,43.0,TOP,L,Grey
5293,39.0,TOP,M,Grey
5294,1.0,TOP,S,Grey
5295,5.0,TOP,XL,Grey
5296,8.0,TOP,XS,Grey
5297,5.0,TOP,XXL,Grey
5298,2.0,TOP,L,Beige
